rank,title,egg_index,cumulative_viewers_count,is_re_release,release_date,age_rating,poster_url,crawled_at,source_url
59,소영의 노력,93%,"2,183",개봉,,전체 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030000/30000188/30000188_320.jpg,2026-08-16 21:12:06,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
60,싱 어게인,,,개봉예정,2026-09-02,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001369/30001369_320.jpg,2026-08-16 21:12:06,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
61,어느 파리 택배기사의 48시간,99%,"6,543",개봉,,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001217/30001217_320.jpg,2026-08-16 21:12:06,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
62,오크 스트리트의 마지막 날,,,개봉예정,2026-08-26,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001389/30001389_320.jpg,2026-08-16 21:12:06,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
63,지난 여름,85%,"1,650",개봉,,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001356/30001356_320.jpg,2026-08-16 21:12:06,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
64,지느러미,67%,"8,732",개봉,,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001303/30001303_320.jpg,2026-08-16 21:12:06,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
65,청년 조용기,,,개봉예정,2026-09-11,전체 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001333/30001333_320.jpg,2026-08-16 21:12:06,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
66,키스 미 어게인,,,재개봉,2026-08-19,청소년 관람불가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/000078/78335/78335_320.jpg,2026-08-16 21:12:06,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
67,파리의 사생활,92%,"9,440",개봉,,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001275/30001275_320.jpg,2026-08-16 21:12:06,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
68,파뿌리24 - 좀비아일랜드,,,개봉예정,2026-08-22,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001302/30001302_320.png,2026-08-16 21:12:06,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
