rank,title,egg_index_raw,cumulative_viewers_raw,release_info_raw,age_rating,poster_url,crawled_at,source_url
58,몽상가들,93,4.9만,,청소년 관람불가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/000077/77427/77427_320.jpg,2026-09-06 12:36:47,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
59,무진연가,,280 ,,전체 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001365/30001365_320.jpg,2026-09-06 12:36:47,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
60,스탑 메이킹 센스,96,3.8만,,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/000089/89870/89870_320.jpg,2026-09-06 12:36:47,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
61,스파이에어 저스트 라이크 디스 2025,99,"1,360 ",,전체 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001421/30001421_320.jpg,2026-09-06 12:36:47,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
62,"올공, 2030 나라를 살리다",,,2026.09.09 개봉,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001508/30001508_320.jpg,2026-09-06 12:36:47,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
63,제22회 서울인디애니페스트2026 독립보행1,,,2026.09.19 개봉,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001487/30001487_320.jpg,2026-09-06 12:36:47,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
64,제22회 서울인디애니페스트2026 독립보행3,,,2026.09.20 개봉,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001489/30001489_320.jpg,2026-09-06 12:36:47,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
65,제22회 서울인디애니페스트2026 미리내로3-직장인 체육대회,,,2026.09.19 개봉,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001499/30001499_320.jpg,2026-09-06 12:36:47,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
66,제22회 서울인디애니페스트2026 새벽비행1,,,2026.09.19 개봉,전체 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001490/30001490_320.jpg,2026-09-06 12:36:47,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
67,제22회 서울인디애니페스트2026 새벽비행2,,,2026.09.19 개봉,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001491/30001491_320.jpg,2026-09-06 12:36:47,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
68,트루먼의 사랑,65,"1,325 ",,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001361/30001361_320.jpg,2026-09-06 12:36:47,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
69,프랙티컬 매직-새로운 챕터,,,2026.09.09 개봉,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001443/30001443_320.jpg,2026-09-06 12:36:47,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
70,환희의 얼굴,,,2026.09.09 개봉,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001398/30001398_320.jpg,2026-09-06 12:36:47,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
71,(라이브뷰잉) 프로젝트 세카이 6주년 감사제,,,2026.10.03 개봉,전체 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001469/30001469_320.jpg,2026-09-06 12:36:47,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
72,2026 KBO 리그 - 두산 베어스 vs SSG 랜더스,,0 ,,전체 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001457/30001457_320.jpg,2026-09-06 12:36:47,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
73,2026 LCK 결승전 TBD vs TBD,,,2026.09.13 개봉,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001462/30001462_320.png,2026-09-06 12:36:47,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
74,2026 LCK 플레이오프 패자조 4R TBD vs TBD,,,2026.09.12 개봉,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001461/30001461_320.png,2026-09-06 12:36:47,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
75,가능주의자,97,"1,304 ",,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001272/30001272_320.jpg,2026-09-06 12:36:47,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
76,그림자 아이,77,"6,470 ",,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001257/30001257_320.jpg,2026-09-06 12:36:47,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
77,다윗,94,31.2만,,전체 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001090/30001090_320.jpg,2026-09-06 12:36:47,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
78,드로스테 저편의 우리들,96,"1,373 ",,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001363/30001363_320.jpg,2026-09-06 12:36:47,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
79,리틀 드리머즈,95,"3,089 ",,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001343/30001343_320.jpg,2026-09-06 12:36:47,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
80,미명,82,"1,570 ",,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001283/30001283_320.jpg,2026-09-06 12:36:47,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
81,빈집의 연인들,86,"2,259 ",,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001351/30001351_320.jpg,2026-09-06 12:36:47,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
82,산양들,93,"6,559 ",,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001313/30001313_320.jpg,2026-09-06 12:36:47,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
83,스틸레이,,,2026.10.14 개봉,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001471/30001471_320.jpg,2026-09-06 12:36:47,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
84,신사-악귀의 속삭임,61,4.7만,,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001221/30001221_320.jpg,2026-09-06 12:36:47,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
85,연옥-살인마들의 자치구역,,,2026.09.09 개봉,청소년 관람불가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001371/30001371_320.jpg,2026-09-06 12:36:47,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
86,정뱅이,,"3,138 ",,전체 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001207/30001207_320.jpg,2026-09-06 12:36:47,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
87,제22회 서울인디애니페스트2026 ITFS 베스트 네이처 애니메이션,,,2026.09.19 개봉,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001504/30001504_320.jpg,2026-09-06 12:36:47,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
88,제22회 서울인디애니페스트2026 개막섹션 두루두루-한국애니메이션쇼케이스,,,2026.09.17 개봉,전체 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001486/30001486_320.jpg,2026-09-06 12:36:47,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
89,제22회 서울인디애니페스트2026 김보솔의 밀실과 광장,,,2026.09.20 개봉,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001502/30001502_320.jpg,2026-09-06 12:36:47,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
90,제22회 서울인디애니페스트2026 독립보행2,,,2026.09.20 개봉,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001488/30001488_320.jpg,2026-09-06 12:36:47,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
91,제22회 서울인디애니페스트2026 랜선비행,,,2026.09.19 개봉,전체 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001492/30001492_320.jpg,2026-09-06 12:36:47,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
92,제22회 서울인디애니페스트2026 미리내로1-작은 곤충들의 큰 모험,,,2026.09.19 개봉,전체 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001497/30001497_320.jpg,2026-09-06 12:36:47,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
93,제22회 서울인디애니페스트2026 미리내로2-자자 자투나,,,2026.09.19 개봉,15세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001498/30001498_320.jpg,2026-09-06 12:36:47,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
94,제22회 서울인디애니페스트2026 아시아 파노라마-돌연변이와 산다,,,2026.09.19 개봉,청소년 관람불가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001501/30001501_320.jpg,2026-09-06 12:36:47,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
95,제22회 서울인디애니페스트2026 아시아로1,,,2026.09.19 개봉,전체 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001493/30001493_320.jpg,2026-09-06 12:36:47,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
96,제22회 서울인디애니페스트2026 아시아로2,,,2026.09.20 개봉,전체 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001494/30001494_320.jpg,2026-09-06 12:36:47,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
97,제22회 서울인디애니페스트2026 아시아로3,,,2026.09.20 개봉,12세 관람가,https://cdn.cgv.co.kr/cgvpomsfilm/Movie/Thumbnail/Poster/030001/30001495/30001495_320.jpg,2026-09-06 12:36:47,https://cgv.co.kr/cnm/cgvChart/movieChart?tabParam=144
